DATE (MM/DD/YYYY),HOUR-EST,Avg Global Horizontal [W/m^2],Avg Direct Normal [W/m^2],Avg Diffuse Horizontal [W/m^2],Avg Direct (Bird estimated) [W/m^2],Avg Air Temperature [deg C],Avg Rel Humidity [%],Avg Avg Wind Speed @ 42ft [m/s],Avg Peak Wind Speed @ 42ft [m/s],Avg Avg Wind Direction @ 42ft [deg from N],Avg Est Pressure [mBar],Avg Precipitation [mm],Avg Precipitation (Accumulated) [mm]
1/1/12,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,1,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,2,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,3,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,4,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,5,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,6,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,7,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,8,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,9,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,10,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,11,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,12,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,13,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,14,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,15,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,16,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,17,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,18,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,19,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,20,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,21,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,22,0,0,0,0,0,0,0,0,0,0,0,0
1/1/12,23,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,1,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,2,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,3,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,4,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,5,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,6,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,7,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,8,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,9,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,10,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,11,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,12,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,13,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,14,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,15,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,16,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,17,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,18,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,19,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,20,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,21,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,22,0,0,0,0,0,0,0,0,0,0,0,0
1/2/12,23,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,1,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,2,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,3,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,4,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,5,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,6,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,7,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,8,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,9,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,10,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,11,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,12,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,13,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,14,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,15,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,16,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,17,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,18,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,19,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,20,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,21,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,22,0,0,0,0,0,0,0,0,0,0,0,0
1/3/12,23,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,1,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,2,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,3,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,4,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,5,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,6,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,7,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,8,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,9,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,10,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,11,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,12,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,13,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,14,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,15,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,16,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,17,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,18,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,19,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,20,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,21,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,22,0,0,0,0,0,0,0,0,0,0,0,0
1/4/12,23,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,1,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,2,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,3,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,4,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,5,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,6,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,7,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,8,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,9,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,10,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,11,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,12,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,13,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,14,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,15,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,16,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,17,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,18,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,19,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,20,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,21,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,22,0,0,0,0,0,0,0,0,0,0,0,0
1/5/12,23,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,1,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,2,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,3,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,4,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,5,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,6,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,7,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,8,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,9,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,10,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,11,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,12,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,13,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,14,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,15,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,16,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,17,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,18,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,19,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,20,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,21,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,22,0,0,0,0,0,0,0,0,0,0,0,0
1/6/12,23,0,0,0,0,0,0,0,0,0,0,0,0
1/7/12,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/12,1,0,0,0,0,0,0,0,0,0,0,0,0
1/7/12,2,0,0,0,0,0,0,0,0,0,0,0,0
1/7/12,3,0,0,0,0,0,0,0,0,0,0,0,0
1/7/12,4,0,0,0,0,0,0,0,0,0,0,0,0
